,lemat,emocje,stopien_nacechowania
134600,minoderyjny,złość;wstręt;,- s
134607,żartowny,radość;zaufanie;,+ s
134608,żartowny,radość;cieszenie się na coś oczekiwanego;,+ s
134609,kiepściutki,smutek;złość;wstręt;,- m
134610,kiepściutki,smutek;wstręt;,- s
134611,kiepściutki,smutek;złość;wstręt;,- s
134620,zaśmiardły,złość;wstręt;,- m
134621,zaśmiardły,złość;wstręt;,- m
134622,zaśmiardły,wstręt;,- m
134623,zaśmiardły,wstręt;,- m
134624,zaszlochany,smutek;,- m
134625,zaszlochany,smutek;,- s
134626,zaszlochany,zaskoczenie czymś nieprzewidywanym;smutek;,- s
134627,zbytny,radość;zaufanie;,+ s
134628,zbytny,radość;cieszenie się na coś oczekiwanego;,+ s
134629,zbytny,smutek;,- s
134630,zbytny,,- s
134635,wyżółknąć,,- s
134637,wyżółkły,złość;wstręt;,- s
134638,wyżółkły,smutek;wstręt;,- s
134645,stabilny,radość;zaufanie;,+ s
134646,stabilny,radość;,+ s
134665,zdrowiuteńki,radość;zaufanie;,+ m
134666,zdrowiuteńki,radość;,+ s
134667,zdrowiuteńki,radość;cieszenie się na coś oczekiwanego;,+ s
134668,zdrowiuteńki,zaufanie;,+ s
134669,zdrowiuteńki,radość;,+ s
134670,zdrowiuteńki,radość;,+ s
134671,zdrowiuteńki,radość;,+ s
134672,zdrowiuteńki,radość;,+ s
134673,zdrowiuteńki,radość;,+ s
134674,zdrowiutki,radość;,+ s
134675,zdrowiutki,radość;,+ s
134676,zdrowiutki,radość;,+ s
134677,zdrowiutki,radość;,+ s
134678,zdrowiuteńki,radość;,+ s
134679,zdrowiuteńki,radość;,+ s
134680,zdziadziały,smutek;złość;,- s
134681,zdziadziały,smutek;złość;wstręt;,- m
134682,zdziadziały,złość;strach;wstręt;,- s
134685,zdziadziały,złość;wstręt;,- m
134686,zdziadziały,złość;wstręt;,- m
134689,zakazowy,,- s
134690,zakazowy,,- s
134701,zgrywny,radość;cieszenie się na coś oczekiwanego;smutek;złość;wstręt;,amb
134702,zgrywny,radość;zaufanie;,amb
134703,zapiecowy,radość;,+ s
134704,zapiecowy,radość;zaufanie;,+ s
134705,zgrywny,radość;,+ s
134706,zgrywny,radość;,+ s
134711,odleżały,smutek;,- s
134712,odleżały,smutek;,- s
134717,rozlewność,złość;,- s
134718,rozlewność,złość;wstręt;,- s
134739,zleniwiały,smutek;wstręt;,- s
134740,zleniwiały,smutek;złość;wstręt;,- s
134745,zmiękły,radość;zaufanie;,+ s
134746,zmiękły,radość;zaufanie;smutek;złość;,amb
134747,zmiękły,radość;złość;,amb
134758,kołchozowy,smutek;złość;wstręt;,- s
134759,kołchozowy,wstręt;,- s
134760,kołchoźny,smutek;złość;wstręt;,- s
134761,kołchoźny,wstręt;,- s
134764,mokrzutki,radość;,+ s
134765,mokrzutki,radość;smutek;,amb
134766,mokrzutki,radość;,+ s
134767,mokrzuteńki,radość;,+ s
134768,mokrzuteńki,radość;smutek;,amb
134769,mokrzuteńki,radość;,+ s
134770,mokrzutki,radość;wstręt;,amb
134771,mokrzutki,,- s
134772,mokrzutki,radość;wstręt;,amb
134773,mokrzuteńki,radość;wstręt;,amb
134774,mokrzuteńki,,- s
134775,mokrzuteńki,radość;wstręt;,amb
134777,zolbrzymiały,radość;smutek;,amb
134778,arcydelikatny,radość;smutek;złość;,amb
134779,arcydelikatny,zaufanie;smutek;złość;wstręt;,amb
134780,arcydelikatny,zaufanie;,+ s
134782,arcydelikatny,radość;,+ s
134783,arcydelikatny,radość;,+ m
134784,arcydelikatny,radość;cieszenie się na coś oczekiwanego;,+ m
134785,arcydelikatny,smutek;złość;,- s
134786,arcydelikatny,zaufanie;zaskoczenie czymś nieprzewidywanym;,amb
134787,arcydelikatny,zaskoczenie czymś nieprzewidywanym;strach;,- s
134788,arcydelikatny,zaufanie;,+ s
134789,arcydelikatny,radość;zaufanie;,- m
134790,arcydelikatny,zaufanie;,+ s
134791,arcynudny,smutek;złość;wstręt;,- m
134792,arcynudny,smutek;złość;wstręt;,- m
134795,arcysmaczny,radość;,+ m
134796,arcysmaczny,radość;,+ m
134799,arcysmaczny,radość;,+ m
134800,arcysmaczny,radość;,+ s
134801,arcysmaczny,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ s
134802,arcymiły,radość;zaufanie;,+ m
134803,arcymiły,radość;,+ m
134804,arcymiły,radość;zaufanie;,+ m
134805,arcymiły,radość;,+ m
134808,arcymiły,radość;zaufanie;,+ m
134809,arcymiły,radość;,+ m
134812,arcywspaniały,radość;,+ m
134813,arcywspaniały,radość;,+ m
134814,arcywspaniały,radość;,+ m
134815,arcywspaniały,radość;,+ m
134816,arcywspaniały,radość;zaufanie;,+ m
134817,arcywspaniały,radość;zaufanie;,+ m
134818,arcywspaniały,radość;,+ m
134819,arcywspaniały,radość;,+ m
134822,sykliwy,smutek;złość;wstręt;,- s
134823,sykliwy,wstręt;,- s
134824,szalbierczy,złość;wstręt;,- s
134825,szalbierczy,złość;wstręt;,- m
134826,szalbierczy,złość;wstręt;,- s
134827,szalbierczy,złość;wstręt;,- s
134828,szalbierczy,złość;wstręt;,- s
134831,pijaczy,smutek;złość;wstręt;,- s
134832,pijaczy,smutek;złość;wstręt;,- s
134855,przesłodzony,wstręt;,- s
134856,przesłodzony,złość;wstręt;,- s
134859,przełzawiony,wstręt;,- s
134860,przełzawiony,wstręt;,- s
134861,przełzawiony,smutek;,- s
134863,załzawiony,smutek;,- s
134865,przełzawiony,smutek;,- s
134866,przełzawiony,smutek;złość;,- s
134870,bogoburczy,złość;wstręt;,- s
134879,antybiurokratyczny,,+ s
134880,antybiurokratyczny,zaufanie;,+ s
134883,bigoteryjny,wstręt;,- m
134884,bigoteryjny,,- s
134885,bigoteryjny,złość;wstręt;,- s
134886,bigoteryjny,złość;wstręt;,- s
134887,bigoteryjny,złość;wstręt;,- m
134888,bigoteryjny,złość;wstręt;,- s
134899,pijaniuteńki,złość;wstręt;,- s
134900,pijaniuteńki,smutek;złość;wstręt;,- s
134907,biednieńki,smutek;złość;,- s
134908,biednieńki,smutek;złość;wstręt;,- s
134909,półgłuchy,smutek;,- s
134910,półgłuchy,złość;,- s
134911,półomdlały,smutek;strach;,- s
134912,półomdlały,smutek;,- s
134949,remizowy,złość;wstręt;,- s
134950,remizowy,złość;wstręt;,- s
134955,tapetowy,wstręt;,- s
134956,tapetowy,wstręt;,- s
134970,telegeniczny,,+ s
134971,fotogeniczny,radość;,+ s
134972,fotogeniczny,radość;,+ s
135001,kapitalnie,radość;,+ m
135002,kapitalnie,radość;,+ m
135003,kapitalnie,radość;,+ m
135004,kapitalnie,radość;,+ m
135005,kapitalnie,radość;,+ m
135006,kapitalnie,radość;,+ m
135009,abstrakcyjnie,radość;wstręt;,amb
135010,abstrakcyjnie,radość;złość;wstręt;,amb
135011,rewelacyjnie,radość;,+ m
135012,rewelacyjnie,radość;,+ m
135013,rewelacyjnie,radość;,+ m
135014,rewelacyjnie,radość;,+ m
135015,fenomenalnie,radość;,+ m
135016,fenomenalnie,radość;zaufanie;,+ m
135017,fenomenalnie,radość;,+ m
135018,fenomenalnie,radość;,+ m
135019,fenomenalnie,radość;,+ m
135020,fenomenalnie,radość;,+ m
135021,arbitralnie,,- s
135022,arbitralnie,smutek;złość;,- s
135023,akceptowalnie,zaufanie;smutek;,amb
135024,akceptowalnie,zaufanie;smutek;,amb
135026,aktywnie,zaufanie;,+ s
135027,aktywnie,,+ s
135028,aktywnie,,+ s
135029,aktywnie,radość;,+ s
135035,nieodwołalnie,radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;,amb
135040,ambitnie,zaufanie;,+ s
135041,ambitnie,zaufanie;,+ s
135044,aksamitnie,radość;,+ s
135045,aksamitnie,,+ s
135048,apetycznie,radość;cieszenie się na coś oczekiwanego;,+ s
135049,apetycznie,radość;cieszenie się na coś oczekiwanego;,+ s
135050,aprobująco,radość;zaufanie;,+ s
135051,aprobująco,radość;cieszenie się na coś oczekiwanego;,+ s
135052,archaicznie,,- s
135053,archaicznie,smutek;wstręt;,- s
135054,arystokratycznie,radość;,+ s
135055,arystokratycznie,radość;,+ s
135062,autentycznie,,+ m
135063,autentycznie,zaufanie;,+ m
135064,autonomicznie,radość;,+ s
135065,autonomicznie,radość;zaufanie;,+ s
135067,badawczo,zaufanie;,+ s
135070,fotogenicznie,radość;,+ s
135071,fotogenicznie,radość;,+ s
135074,bezbłędnie,radość;smutek;złość;,amb
135075,bezbłędnie,radość;smutek;złość;,amb
135076,bezbłędnie,radość;złość;,amb
135077,bezcelowo,smutek;złość;,- s
135078,bezcelowo,smutek;,- s
135079,bezcennie,radość;,+ m
135080,bezcennie,,+ s
135081,bezcennie,radość;cieszenie się na coś oczekiwanego;,+ s
135082,bezczynnie,smutek;złość;,- s
135083,bezczynnie,smutek;,- s
135088,beznadziejnie,smutek;złość;,- m
135089,beznadziejnie,smutek;złość;,- m
135090,beznamiętnie,,- s
135091,beznamiętnie,smutek;,- s
135092,bezpańsko,smutek;,- s
135093,bezpańsko,smutek;,- s
135094,bezpiecznie,radość;zaufanie;,+ s
135095,bezpiecznie,zaufanie;,+ s
135096,bezpodstawnie,,- m
135097,bezpodstawnie,smutek;,- s
135098,bezpodstawnie,smutek;złość;,- s
135101,bezprawnie,smutek;złość;,- m
135102,bezprawnie,smutek;złość;,- m
135103,bezproduktywnie,,- s
135104,bezproduktywnie,smutek;złość;,- s
135108,bezpłatnie,radość;smutek;złość;,amb
135109,bezskutecznie,smutek;złość;,- m
135110,bezskutecznie,smutek;,- s
135111,bezskutecznie,smutek;złość;,- s
135112,bezużytecznie,smutek;złość;,- s
135113,bezużytecznie,smutek;,- s
135115,bezwarunkowo,zaufanie;złość;wstręt;,amb
135118,bezzwłocznie,radość;,+ s
135119,bezzwłocznie,radość;zaufanie;,+ s
135135,blisko,radość;smutek;złość;,amb
135140,brawurowo,radość;smutek;złość;,amb
135141,brawurowo,radość;smutek;złość;,amb
135144,brudno,wstręt;,- s
135145,brudno,smutek;wstręt;,- m
135146,brudno,wstręt;,- s
135157,brzydko,,- s
135158,brzydko,smutek;wstręt;,- s
135159,budująco,radość;,+ m
135160,budująco,radość;cieszenie się na coś oczekiwanego;,+ s
135161,budująco,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ s
135165,bujnie,radość;smutek;złość;,amb
135170,błagalnie,smutek;,- s
135171,błagalnie,smutek;strach;,- s
135172,błędnie,,- s
135173,błędnie,smutek;,- s
135178,błyskawicznie,radość;smutek;złość;,amb
135179,błyskawicznie,radość;smutek;strach;,amb
135184,agresywnie,smutek;złość;,- m
135185,agresywnie,smutek;strach;,- m
135187,całościowo,zaufanie;,+ s
135188,cało,radość;,+ s
135189,cało,radość;,+ s
135192,celnie,zaufanie;,+ m
135193,celnie,zaufanie;,+ s
135194,celnie,radość;zaufanie;,+ s
135196,celowo,radość;smutek;złość;,amb
135197,cennie,radość;,+ m
135198,cennie,radość;,+ m
135203,antybakteryjnie,zaufanie;,+ s
135204,antybakteryjnie,zaufanie;,+ s
135205,chaotycznie,smutek;złość;,- s
135206,chaotycznie,smutek;złość;,- s
135207,męczeńsko,smutek;,- s
135208,męczeńsko,smutek;złość;,- s
135210,charakterystycznie,,+ s
135211,przeciwbakteryjnie,zaufanie;,+ s
135213,antygrypowo,zaufanie;,+ s
135214,antygrypowo,zaufanie;,+ s
135215,przeciwcukrzycowo,zaufanie;,+ s
135216,przeciwcukrzycowo,zaufanie;,+ s
135217,antydepresyjnie,radość;zaufanie;,+ s
135218,antydepresyjnie,radość;,+ s
135219,chlubnie,radość;,+ m
135220,chlubnie,radość;zaufanie;,+ s
135221,chlubnie,radość;,+ s
135222,chorobliwie,smutek;złość;,- m
135223,chorobliwie,smutek;złość;,- s
135224,chorobliwie,smutek;złość;,- s
135225,choro,smutek;,- s
135226,choro,smutek;,- s
135236,chwiejnie,,- s
135239,superszybko,radość;smutek;złość;,amb
135240,superszybko,radość;smutek;złość;,amb
135251,kwieciście,radość;,+ s
135252,kwieciście,,+ s
135253,kwiecisto,radość;,+ s
135254,kwiecisto,,+ s
135255,ciasno,,- s
135256,ciasno,smutek;,- s
135259,dziewczyńsko,,amb
135260,dziewczyńsko,radość;smutek;złość;,amb
135261,ciekawie,radość;,+ s
135262,ciekawie,radość;cieszenie się na coś oczekiwanego;,+ s
135264,ciemnawo,radość;cieszenie się na coś oczekiwanego;smutek;strach;,amb
135265,niedorośle,złość;wstręt;,- s
135266,niedorośle,smutek;złość;,- s
135272,cienko,radość;smutek;,amb
135274,ciepło,zaufanie;,+ s
135275,koturnowo,złość;,- s
135276,koturnowo,złość;wstręt;,- s
135277,ciężko,smutek;złość;,- s
135278,ciężko,smutek;,- s
135279,ckliwie,radość;smutek;,amb
135280,ckliwie,zaufanie;,+ s
135281,ckliwie,wstręt;,- s
135282,bezpośrednio,zaufanie;,amb
135283,bezpośrednio,zaufanie;złość;,amb
135284,cudnie,radość;,+ m
135285,cudnie,radość;,+ m
135286,cudownie,,+ m
135287,cudownie,radość;,+ m
135292,czarno,wstręt;,- s
135293,czarno,wstręt;,- s
135294,czarująco,radość;,+ m
135295,czarująco,radość;,+ s
135296,czarująco,radość;cieszenie się na coś oczekiwanego;,+ m
135305,absolutnie,zaufanie;smutek;złość;,amb
135306,absolutnie,smutek;,- s
135307,absolutnie,cieszenie się na coś oczekiwanego;smutek;,amb
135309,często,radość;smutek;strach;,amb
135312,brudno,wstręt;,- s
135313,brudno,smutek;wstręt;,- s
135314,czułostkowo,,- s
135315,czułostkowo,smutek;złość;wstręt;,- s
135316,czynnie,radość;,+ s
135317,czynnie,zaufanie;smutek;złość;,amb
135318,czynnie,radość;wstręt;,amb
135319,czysto,,+ s
135320,czysto,radość;,+ s
135323,bezkierunkowo,,- s
135324,bezkierunkowo,smutek;złość;,- s
135327,daremnie,smutek;,- m
135328,daremnie,smutek;,- s
135329,daremnie,smutek;złość;,- s
135330,daremno,smutek;,- s
135331,daremno,smutek;złość;,- s
135333,darmowo,radość;smutek;złość;,amb
135334,defetystycznie,smutek;złość;,- s
135335,defetystycznie,smutek;strach;,- s
135338,decydująco,,+ s
135339,decydująco,zaufanie;smutek;,amb
135340,decydująco,zaufanie;cieszenie się na coś oczekiwanego;,+ s
135345,dziurawo,,- s
135346,dziurawo,zaufanie;smutek;złość;,amb
135347,dziurawo,zaufanie;cieszenie się na coś oczekiwanego;złość;wstręt;,amb
135348,dziurawo,,- s
135349,dziurawo,smutek;,- s
135358,grubo,radość;smutek;złość;,amb
135359,grubo,radość;smutek;złość;,amb
135367,bezinwazyjnie,,+ s
135368,fachowo,zaufanie;,+ s
135369,fachowo,zaufanie;,+ s
135372,bezkonfliktowo,radość;zaufanie;smutek;złość;,+ s
135373,bezkonfliktowo,zaufanie;,+ s
135374,patologicznie,smutek;złość;,- m
135375,patologicznie,smutek;złość;,- s
135376,patologicznie,smutek;złość;strach;wstręt;,- s
135378,dodatkowo,radość;smutek;złość;,amb
135382,antytotalitarnie,zaufanie;,+ s
135383,dogodnie,,+ s
135384,dogodnie,radość;,+ s
135385,dogłębnie,radość;smutek;złość;,amb
135386,dogłębnie,radość;smutek;,amb
135387,konformistycznie,,- s
135388,konformistycznie,smutek;,- s
135389,kapitulancko,,- s
135390,kapitulancko,,- s
135391,przyciasno,,- s
135392,przyciasno,smutek;,- s
135393,przyciasno,,- s
135394,przyciasno,smutek;,- s
135395,doniośle,radość;,+ s
135396,doniośle,radość;,+ s
135402,dalekosiężnie,zaufanie;,+ s
135403,dopuszczalnie,,+ s
135404,dopuszczalnie,zaufanie;,+ s
135405,cudownie,radość;,+ m
135406,cudownie,radość;,+ m
135407,cudownie,radość;zaskoczenie czymś nieprzewidywanym;,+ s
135408,cudownie,radość;,+ s
135409,bezkompromisowo,zaufanie;smutek;złość;,amb
135410,bezkompromisowo,zaufanie;smutek;złość;,amb
135412,doraźnie,,amb
135413,bosko,radość;smutek;złość;,amb
135414,bosko,radość;smutek;złość;,amb
135416,dorywczo,,amb
135421,antyżydowsko,,- m
135422,antyżydowsko,smutek;wstręt;,- s
135423,antyżydowsko,smutek;złość;strach;wstręt;,- s
135424,antysemicko,,- s
135425,antysemicko,smutek;wstręt;,- s
135426,asekurancko,smutek;złość;,- s
135427,asekurancko,smutek;złość;wstręt;,- s
135428,libertyńsko,złość;,- s
135429,libertyńsko,złość;wstręt;,- s
135430,narcystycznie,,- s
135431,narcystycznie,smutek;złość;,- s
135432,dostatecznie,,+ s
135433,dostatecznie,zaufanie;,+ s
135434,bezmiernie,radość;smutek;złość;,amb
135435,bezmiernie,radość;smutek;złość;,amb
135437,dostępnie,radość;cieszenie się na coś oczekiwanego;,+ s
135440,niekiepsko,,amb
135441,niekiepsko,radość;smutek;złość;,amb
135444,jadowicie,strach;,- s
135445,jadowicie,strach;,- s
135448,dramatycznie,smutek;złość;strach;,- m
135449,dramatycznie,smutek;strach;,- m
135450,doskonale,radość;zaufanie;,+ m
135451,doskonale,radość;,+ m
135452,doskonale,radość;zaufanie;,+ m
135453,doskonale,zaufanie;,+ m
135454,drobiazgowo,,+ s
135455,drobiazgowo,zaufanie;,+ s
135457,drobno,radość;smutek;złość;,amb
135458,idealnie,radość;zaufanie;,+ m
135459,idealnie,zaufanie;,+ m
135460,idealnie,,+ m
135461,idealnie,radość;,+ m
135463,drogo,radość;zaufanie;smutek;złość;,amb
135464,drugorzędnie,,- s
135465,drugorzędnie,smutek;,- s
135466,bezkształtnie,smutek;,- s
135467,bezkształtnie,smutek;,- s
135470,duszno,,- s
135471,duszno,smutek;złość;wstręt;,- s
135472,zbytecznie,smutek;złość;,- s
135473,zbytecznie,smutek;złość;,- s
135478,dynamicznie,radość;smutek;złość;,amb
135479,dynamicznie,radość;cieszenie się na coś oczekiwanego;strach;,amb
135482,dyskusyjnie,,- s
135483,dyskusyjnie,smutek;,- s
135484,niegłęboko,,amb
135490,erogenicznie,radość;cieszenie się na coś oczekiwanego;,+ s
135493,bezspornie,zaufanie;smutek;,amb
135494,bezspornie,radość;zaufanie;,+ s
135495,bezspornie,,+ s
135496,dzielnie,radość;zaufanie;,+ s
135497,dzielnie,zaufanie;,+ s
135500,dziewiczo,zaufanie;,+ m
135501,dziewiczo,radość;,+ s
135502,dziewiczo,radość;cieszenie się na coś oczekiwanego;,+ s
135503,dziwacznie,,- s
135504,dziwacznie,radość;wstręt;,amb
135505,dziwacznie,smutek;,- s
135511,długo,,amb
135513,długotrwale,,amb
135515,edukacyjnie,zaufanie;,+ s
135516,efektownie,radość;,+ m
135517,efektownie,radość;,+ s
135518,efektownie,radość;,+ s
135519,efektywnie,radość;,+ s
135520,efektywnie,zaufanie;,+ s
135521,ekscentrycznie,radość;zaufanie;smutek;złość;,amb
135522,ekscentrycznie,radość;smutek;złość;wstręt;,amb
135525,ekstremalnie,radość;smutek;złość;,amb
135526,ekstremalnie,radość;smutek;,amb
135529,elegancko,radość;,+ s
135530,elegancko,radość;,+ s
135537,bezkształtnie,,- s
135538,bezkształtnie,wstręt;,- s
135539,energetycznie,radość;,+ s
135540,energetycznie,,+ s
135544,erotycznie,radość;cieszenie się na coś oczekiwanego;,+ s
135545,etycznie,,+ s
135546,etycznie,zaufanie;,+ s
135551,ewidentnie,radość;zaufanie;smutek;złość;,amb
135552,ewidentnie,radość;zaufanie;smutek;złość;,amb
135555,faktycznie,smutek;złość;,amb
135556,faktycznie,zaufanie;smutek;złość;,amb
135563,fantastycznie,radość;,+ m
135564,fantastycznie,radość;,+ m
135565,feralnie,smutek;złość;,- m
135566,feralnie,smutek;strach;,- s
135567,feralnie,złość;strach;,- s
135568,fikcyjnie,,amb
135569,fikcyjnie,radość;smutek;,amb
135570,filigranowo,,amb
135571,filigranowo,radość;smutek;,amb
135576,badziewnie,smutek;złość;,- m
135577,badziewnie,smutek;złość;wstręt;,- s
135578,badziewnie,złość;wstręt;,- s
135581,foremnie,,+ s
135582,foremnie,radość;,+ s
135585,ciepło,radość;cieszenie się na coś oczekiwanego;,+ s
135586,ciepło,radość;,+ s
135587,cieplutko,radość;,+ s
135588,cieplutko,radość;,+ s
135589,cieplutko,radość;cieszenie się na coś oczekiwanego;,+ s
135590,cieplutko,radość;,+ s
135591,ciepluteńko,radość;,+ m
135592,ciepluteńko,radość;,+ s
135593,ciepluteńko,radość;,+ s
135594,ciepluteńko,radość;zaufanie;,+ m
135595,ciepluteńko,radość;,+ s
135596,ciepluteńko,radość;,+ m
135597,cieplusieńko,radość;,+ m
135598,cieplusieńko,radość;,+ s
135599,cieplusieńko,radość;,+ s
135601,ciepławo,smutek;,- s
135604,ciepławo,radość;cieszenie się na coś oczekiwanego;,+ s
135605,ciepławo,radość;,+ s
135613,gibko,radość;cieszenie się na coś oczekiwanego;strach;,amb
135616,gigantycznie,radość;smutek;strach;,amb
135617,gigantycznie,radość;smutek;strach;,amb
135620,gminnie,smutek;złość;,- s
135621,gminnie,złość;wstręt;,- s
135622,gnuśnie,,- s
135623,gnuśnie,radość;smutek;złość;,amb
135624,gnuśnie,wstręt;,amb
135625,godziwie,radość;zaufanie;,+ s
135626,godziwie,radość;zaufanie;,+ s
135629,gorąco,,+ s
135630,gorąco,radość;cieszenie się na coś oczekiwanego;,+ s
135631,gorąco,strach;,- s
135632,gorąco,smutek;strach;,- s
135633,górnolotnie,radość;zaufanie;,amb
135634,górnolotnie,zaufanie;złość;wstręt;,amb
135637,gorzko,wstręt;,- s
135638,gorzko,wstręt;,- s
135639,gorąco,radość;zaufanie;,+ m
135640,gorąco,radość;smutek;złość;,amb
135641,gorąco,radość;,+ m
135644,głęboko,,+ s
135645,głęboko,,+ s
135648,namiętnie,radość;,+ s
135649,namiętnie,radość;,+ s
135656,groźnie,strach;,- s
135657,groźnie,strach;,- s
135658,grubo,,- s
135659,grubo,smutek;,- s
135660,gruntownie,,+ s
135661,gruntownie,zaufanie;,+ s
135664,gwałtownie,radość;smutek;złość;,amb
135665,gwałtownie,radość;smutek;złość;,amb
135666,gładko,,+ s
135667,gładko,,+ s
135670,głośno,,- s
135671,głośno,radość;złość;,amb
135672,głośno,radość;cieszenie się na coś oczekiwanego;,amb
135673,rozkosznie,radość;,+ m
135674,rozkosznie,radość;,+ s
135675,rozkosznie,radość;cieszenie się na coś oczekiwanego;,+ m
135676,harmonijnie,radość;,+ s
135677,harmonijnie,radość;,+ s
135680,hermetycznie,,- s
135681,hermetycznie,smutek;złość;,- s
135686,hulaszczo,,- s
135687,hulaszczo,smutek;złość;,- s
135688,humanitarnie,,+ s
135689,humanitarnie,,+ s
135690,idealnie,radość;zaufanie;,+ m
135691,idealnie,zaufanie;,+ m
135698,instrumentalnie,,- s
135699,instrumentalnie,smutek;,- s
135700,czysto,radość;,+ s
135701,czysto,zaufanie;,+ s
135704,intelektualnie,zaufanie;,amb
135705,intelektualnie,zaufanie;złość;,amb
135706,czysto,radość;,+ s
135707,czysto,radość;,+ s
135710,interesująco,radość;,+ s
135711,interesująco,radość;cieszenie się na coś oczekiwanego;,+ s
135712,trafnie,radość;,+ s
135713,trafnie,radość;,+ s
135714,intratnie,radość;,+ s
135715,intratnie,radość;,+ s
135716,intrygująco,radość;cieszenie się na coś oczekiwanego;,+ s
135717,intrygująco,radość;cieszenie się na coś oczekiwanego;,+ s
135718,intymnie,zaufanie;,+ s
135720,zauważalnie,,amb
135721,zauważalnie,radość;smutek;,amb
135723,istotnie,zaufanie;smutek;,amb
135728,naiwnie,,- s
135729,naiwnie,,- s
135732,jasno,,+ m
135733,jasno,radość;zaufanie;,+ s
135734,jasno,radość;zaufanie;,+ s
135736,jawnie,zaufanie;,+ s
135743,jednomyślnie,zaufanie;,amb
135744,jednomyślnie,zaufanie;,amb
135747,jednostajnie,,- s
135748,jednostajnie,smutek;,- s
135753,jednoznacznie,,+ s
135754,jednoznacznie,zaufanie;,+ s
135762,przewlekle,smutek;,- s
135763,kameralnie,radość;zaufanie;,+ s
135764,kameralnie,radość;zaufanie;,+ s
135766,chronicznie,smutek;,- s
135767,czysto,,+ s
135768,czysto,,+ s
135771,czysto,zaufanie;,+ s
135772,czysto,zaufanie;,+ s
135773,czysto,radość;,+ s
135774,czysto,,+ s
135775,karnie,zaufanie;,amb
135776,karnie,zaufanie;,+ s
135777,karnie,cieszenie się na coś oczekiwanego;,+ s
135782,kiepsko,,- s
135783,kiepsko,smutek;złość;,- s
135784,klarownie,,+ s
135785,klarownie,,+ s
135790,ładnie,radość;,+ s
135791,ładnie,radość;,+ s
135792,ładnie,radość;,+ s
135793,ładnie,radość;,+ s
135794,godnie,zaufanie;,+ s
135795,godnie,radość;zaufanie;,+ s
135798,majestatycznie,,+ s
135799,majestatycznie,,+ s
135800,kobieco,,+ s
135801,kobieco,,+ s
135802,fotograficznie,radość;,+ s
135803,fotograficznie,zaufanie;,+ s
135806,kolosalnie,,amb
135807,kolosalnie,radość;smutek;strach;,amb
135812,milusieńko,radość;,+ m
135813,milusieńko,radość;,+ s
135814,milusieńko,radość;cieszenie się na coś oczekiwanego;,+ s
135815,milusieńko,radość;,+ m
135816,milusieńko,radość;,+ s
135817,milusieńko,radość;cieszenie się na coś oczekiwanego;,+ s
135820,kompaktowo,,+ s
135823,kompleksowo,zaufanie;,+ s
135824,kompletnie,,+ s
135825,kompletnie,,+ s
135826,grzecznie,zaufanie;,amb
135827,grzecznie,radość;zaufanie;,+ s
135828,grzecznie,radość;cieszenie się na coś oczekiwanego;,+ s
135829,grzeczniutko,zaufanie;,amb
135830,grzeczniutko,radość;zaufanie;,+ s
135831,grzeczniutko,radość;cieszenie się na coś oczekiwanego;,+ s
135832,elegancko,radość;,+ s
135833,elegancko,,+ s
135842,ekskluzywnie,radość;,+ m
135843,ekskluzywnie,radość;,+ m
135844,konkretnie,,+ s
135845,konkretnie,,+ s
135846,konsekwentnie,zaufanie;,+ s
135847,konsekwentnie,zaufanie;,+ s
135848,konserwatywnie,zaufanie;złość;wstręt;,amb
135849,konserwatywnie,radość;zaufanie;,amb
135852,dyskotekowo,radość;,amb
135853,dyskotekowo,radość;,amb
135858,kontrolnie,,+ s
135860,kontrowersyjnie,wstręt;,- s
135861,kontrowersyjnie,wstręt;,- s
135864,korupcyjnie,złość;,- s
135865,korupcyjnie,złość;wstręt;,- s
135866,bezosobowo,,- s
135867,bezosobowo,smutek;,- s
135868,korzystnie,zaufanie;,+ s
135869,korzystnie,,+ s
135870,kosmicznie,,- s
135871,kosmicznie,smutek;złość;,- s
135882,krótkotrwale,radość;smutek;złość;,amb
135884,krucho,smutek;złość;,- s
135885,krucho,smutek;złość;,- s
135886,krytycznie,,+ s
135889,krzywo,,- s
135892,kształtnie,radość;,+ s
135893,kształtnie,,+ s
135894,nieproporcjonalnie,smutek;wstręt;,- s
135895,nieproporcjonalnie,smutek;złość;,- s
135896,nieharmonijnie,smutek;,- s
135897,nieharmonijnie,,- s
135906,kłamliwie,,- s
135907,kłamliwie,smutek;złość;,- s
135912,anormalnie,,- s
135913,anormalnie,smutek;złość;,- s
135916,leczniczo,zaufanie;,+ s
135917,leczniczo,zaufanie;,+ s
135918,legalnie,zaufanie;,+ s
135919,legalnie,zaufanie;,+ s
135922,lekkodusznie,smutek;złość;,- s
135923,lekkodusznie,złość;,- s
135924,lekkomyślnie,złość;,- s
135925,lekkomyślnie,złość;,- s
135931,bezimiennie,smutek;,- s
135932,licho,smutek;wstręt;,- s
135933,licho,wstręt;,- s
135936,innowacyjnie,radość;,+ s
135937,innowacyjnie,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ s
135953,bezpłciowo,smutek;,- s
135954,majestatycznie,zaufanie;złość;,amb
135955,majestatycznie,,+ s
